
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
70-0014                          J4                                34   1      4   4   1 4           4 0 GND                 (43-1-13)
70-0029                          J2                                12   1      1   1   1 1           1 0 VCC5                (1023-33-13)
70-0029                          J3                                13   1      1   1   1 1           1 0 GND                 (43-1-13)
70-0081                          J1                                29   1      1   1   1 1           1 0 VCC                 (43-2-13)
70-0081                          J1                                29   1      2   2   1 2           2 0 SWDIO               (1023-29-13)
70-0081                          J1                                29   1      3   3   1 3           3 0 GND                 (43-1-13)
70-0081                          J1                                29   1      4   4   1 4           4 0 SWCLK               (1023-28-13)
70-0081                          J1                                29   1      5   5   1 5           5 0 GND                 (43-1-13)
70-0081                          J1                                29   1      6   6   1 6           6 0                     (0-0-0)
70-0081                          J1                                29   1      7   7   1 8           8 0                     (0-0-0)
70-0081                          J1                                29   1      8   8   1 9           9 0 GND                 (43-1-13)
70-0081                          J1                                29   1      9   9   1 10         10 0                     (0-0-0)
70-0081                          J1                                 0   2      1   1   2 7           7 1                     (0-0-0)
80-0053                          U2                                10   1      1   1   1 OUT         2 0 PROXSENSOR          (1023-27-13)
80-0053                          U2                                10   2      1   1   2 VDD         3 0 VCC                 (43-2-13)
80-0053                          U2                                10   3      1   1   3 GND         1 0 GND                 (43-1-13)
80-0054                          U4                                18   1      1   1   1 3           3 0 RF_CE               (1023-34-13)
80-0054                          U4                                18   1      2   2   1 4           4 0 RF_CSN              (1023-26-13)
80-0054                          U4                                18   1      3   3   1 8           8 0 RF_IRQ              (1023-35-13)
80-0054                          U4                                18   1      4   4   1 7           7 0 RF_MISO             (1023-25-13)
80-0054                          U4                                18   1      5   5   1 6           6 0 RF_MOSI             (1023-24-13)
80-0054                          U4                                18   1      6   6   1 5           5 0 RF_SCK              (1023-23-13)
80-0054                          U4                                18   2      1   1   2 2           2 0 VCC                 (43-2-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
80-0054                          U4                                18   3      1   1   3 1           1 0 GND                 (43-1-13)
